n_rows,n_sources,n_genes,n_species,n_label_sets,sources,genes,label_sets,sequence_length
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences,Tgfb1i1,"Axon,Ribosome;Cell_body,Ribosome;Neurite",5189
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cd320,"Cell_body;Cell_body,Cytoplasm;Synap",2492
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Slc7a5,"Cell_body;Cell_body,Cytoplasm;Synap",3634
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences,Fbxl16,"Neurite;Neuropil;Neuropil,Ribosome",3827
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Mef2c,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",7167
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Sod3,"Axon,Ribosome;Cell_body,Neuropil,Ribosome;Synap",4100
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Rpl21,Cell_body;Dendrite;Neurite,1947
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Sema3a,"Axon;Cell_body,Cytoplasm;Synap",7455
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Unc50,"Cell_body;Cell_body,Cytoplasm;Synap",2434
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Tac2,"Cell_body;Cell_body,Cytoplasm;Synap",854
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Sec61a1,"Cell_body;Cell_body,Cytoplasm;Synap",3174
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Mprip,"Axon,Ribosome;Cell_body;Neurite",13334
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Trank1,"Axon;Axon,Ribosome;Cell_body,Cytoplasm",10872
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Gab2,Cell_body;Neurite;Synap,6168
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Trim46,"Axon;Cell_body,Ribosome;Neurite",5206
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Grcc10,Cell_body;Dendrite;Neurite,1656
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Pdcd5,"Axon,Ribosome;Cell_body;Neurite",958
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Pim3,"Axon;Cell_body;Cell_body,Cytoplasm",2647
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Otud6b,"Cell_body;Cell_body,Ribosome;Neurite",3492
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Epn1,"Cell_body,Neuropil,Ribosome;Neurite;Ribosome,Synap",2937
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Grik3,"Axon;Cell_body,Ribosome;Synap",9264
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Lmbrd2,"Cell_body;Cell_body,Neuropil,Ribosome;Synap",8169
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tspan5,"Cell_body;Cell_body,Cytoplasm;Synap",6653
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Rps12,Cell_body;Dendrite;Neurite,1795
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Hid1,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",3547
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Kdsr,"Cell_body;Cell_body,Cytoplasm;Synap",9208
3,3,1,1,3,June2023_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Mgat5b,"Axon,Ribosome;Cell_body;Synap",4795
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ezr,"Cell_body,Neuropil,Ribosome;Neurite;Ribosome,Synap",4210
3,3,1,1,3,June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Adgrb1,"Axon,Ribosome;Cell_body,Cytoplasm;Synap",7382
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Tspan4,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",2227
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Mbtps1,"Cell_body;Cell_body,Cytoplasm;Synap",6789
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Fdps,"Axon,Ribosome;Cell_body;Cell_body,Neuropil,Ribosome",2953
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ifnar2,"Cell_body;Cell_body,Cytoplasm;Synap",3293
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences,Rpl7,"Cell_body;Cell_body,Neuropil,Ribosome;Neurite",3641
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Gabrd,"Cell_body;Cell_body,Cytoplasm;Synap",3369
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cyb5r3,Cell_body;Neurite;Synap,2547
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ctsa,"Cell_body;Cell_body,Cytoplasm;Synap",4225
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tmem165,"Cell_body;Cell_body,Cytoplasm;Synap",4769
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Dhrs7,"Cell_body;Cell_body,Cytoplasm;Synap",2414
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Sema4a,"Axon;Cell_body,Cytoplasm;Synap",7219
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tgfbr2,Cell_body;Neurite;Synap,8559
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Nosip,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",4855
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Rbfox2,Axon;Dendrite;Neurite,7082
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Pik3r4,"Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome",5703
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Stip1,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",2173
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Xxylt1,"Cell_body;Cell_body,Cytoplasm;Synap",3594
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Nxpe3,"Cell_body;Cell_body,Cytoplasm;Synap",6487
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Wdr19,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",6283
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Rbm26,"Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome",7714
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Setdb1,"Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome",6645
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,St3gal4,"Axon,Ribosome;Cell_body,Cytoplasm;Synap",2871
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Rad23b,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",3866
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Derl2,"Cell_body;Cell_body,Cytoplasm;Synap",4369
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Grin3a,"Axon;Cell_body,Ribosome;Synap",7788
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Srp68,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",3343
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cntn1,"Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",7063
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Sema6d,Axon;Cell_body;Synap,6894
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,G0s2,"Axon,Ribosome;Neuropil;Neuropil,Ribosome",3243
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Rpl13,Cell_body;Neurite;Synap,1969
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Syt2,"Axon;Cell_body,Cytoplasm;Synap",7357
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Morc2a,"Axon;Axon,Ribosome;Cell_body",6943
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Nek9,Cell_body;Neurite;Synap,5522
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Arl14ep,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",4747
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Txndc16,"Cell_body;Cell_body,Cytoplasm;Synap",6451
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Atp6v0e,"Cell_body;Cell_body,Cytoplasm;Synap",4532
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Slc29a4,"Axon,Ribosome;Neurite;Synap",8359
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Jph4,"Axon,Ribosome;Cell_body,Neuropil,Ribosome;Neurite",4498
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Sbno1,"Cell_body;Cell_body,Neuropil,Ribosome;Neurite",10239
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Safb,"Axon;Cell_body;Cell_body,Cytoplasm",4431
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Rin2,"Neurite;Neuropil,Ribosome;Synap",5017
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Auts2,"Axon;Cell_body;Cell_body,Cytoplasm",7413
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Sec24c,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",4639
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Pla2g12a,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",2992
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Nrg3,Axon;Cell_body;Synap,8848
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ctsz,"Neurite;Neuropil,Ribosome;Synap",3447
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences,Rpl14,"Cell_body;Cell_body,Neuropil,Ribosome;Neurite",1271
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Rida,Cell_body;Neurite;Synap,4295
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cbln4,"Axon;Cell_body,Cytoplasm;Synap",2987
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cntfr,"Cell_body;Cell_body,Cytoplasm;Synap",4576
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tmem176b,"Cell_body;Cell_body,Neuropil,Ribosome;Synap",3746
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Peli1,"Axon;Cell_body;Cell_body,Cytoplasm",5694
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Stoml1,"Cell_body;Cell_body,Cytoplasm;Synap",3651
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Erc2,"Axon,Ribosome;Cell_body;Neurite",6528
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Vps11,"Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome",4415
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Clic4,"Cell_body,Neuropil,Ribosome;Neurite;Ribosome,Synap",5318
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Dock9,"Cell_body;Cell_body,Neuropil,Ribosome;Synap",8153
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Hivep1,Axon;Neurite;Synap,8777
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Insig2,"Cell_body;Cell_body,Cytoplasm;Synap",2934
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Zfp948,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",5269
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Tfcp2l1,"Axon,Ribosome;Neurite;Synap",9323
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Pdxp,"Axon,Ribosome;Cell_body,Ribosome;Neurite",2227
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Kirrel3,"Axon,Ribosome;Cell_body,Cytoplasm;Synap",7159
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Rpl41,Cell_body;Dendrite;Neurite,695
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Ttc27,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",2983
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Txndc5,"Cell_body;Cell_body,Cytoplasm;Synap",2843
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Zfp622,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",4485
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Polr3k,"Cell_body;Cell_body,Ribosome;Neurite",4111
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Mphosph8,"Cell_body;Cell_body,Cytoplasm;Neuropil,Ribosome",3750
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences,Fmc1,"Cell_body;Cell_body,Ribosome;Neurite",579
3,3,1,1,3,Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Tmem39b,"Axon,Ribosome;Cell_body,Cytoplasm;Synap",2031
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Lamc1,"Axon;Axon,Ribosome;Synap",7935
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Daam2,"Axon;Neurite;Ribosome,Synap",8956
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;Loedige2023_transcript_sequences,Rab3d,"Cell_body;Cell_body,Ribosome;Neurite",5351
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ano4,Axon;Cell_body;Synap,4782
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cds2,"Cell_body;Cell_body,Neuropil,Ribosome;Synap",8407
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Camk1d,"Cell_body;Cell_body,Ribosome;Neurite",7015
3,3,1,1,3,Biever2020_dual_location_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences,Mvd,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",2445
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tmco3,"Cell_body;Cell_body,Cytoplasm;Synap",5161
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Slc31a1,"Cell_body;Cell_body,Cytoplasm;Synap",5031
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Rell1,"Axon;Axon,Ribosome;Synap",4707
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Adamts4,Axon;Neurite;Synap,5867
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Trafd1,"Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome",4276
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tmem8b,Cell_body;Neurite;Synap,5383
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Fgfr2,"Axon;Cell_body,Cytoplasm;Synap",5642
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Ano6,Axon;Cell_body;Synap,5844
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Slc29a2,"Cell_body;Cell_body,Cytoplasm;Synap",3929
3,3,1,1,3,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tmem132e,"Axon;Cell_body,Cytoplasm;Synap",7147
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Taf12,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm",4070
3,3,1,1,3,Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Tmem240,"Cell_body;Cell_body,Cytoplasm;Synap",5510
